
NEW_LOG
52.415341307,-4.087501949,"303",W
52.41533586,-4.087488085,"303",W
52.415332059,-4.087485719,"303",W
52.41533036,-4.087485719,"303",W
52.415335456,-4.087486944,"303",W
52.415335504,-4.087485855,"303",W
NEW_LOG
52.415372916,-4.087567134,"303",W
52.415370751,-4.087561165,"303",W
52.415370093,-4.087563228,"303",W
52.41537139,-4.087574641,"303",W
52.415373051,-4.087579898,"303",W
52.415372583,-4.087580893,"303",W
NEW_LOG
52.415433479,-4.087543909,"302",W
52.415429198,-4.087545386,"302",W
52.415432752,-4.087540674,"302",W
52.415437687,-4.087534611,"302",W
52.415440731,-4.087535679,"302",W
52.415441425,-4.087535103,"302",W
52.415450008,-4.087526832,"301",W
52.415457305,-4.087520015,"301",W
NEW_LOG
52.415530741,-4.087421778,"204",W
52.415511046,-4.087436165,"204",W
52.415479921,-4.087471148,"204",W
52.415475778,-4.087484613,"203",W
NEW_LOG
52.415515667,-4.087544,"201",W
52.4155115,-4.0875455,"201",W
52.415509333,-4.087547333,"201",W
52.415521,-4.087534667,"201",W
52.415522,-4.0875325,"201",W
52.415510667,-4.087542167,"201",W
NEW_LOG
52.415519,-4.087562167,"200",W
52.415521833,-4.087559833,"200",W
52.41552,-4.087561667,"200",W
52.4154985,-4.087569833,"201",W
52.415504167,-4.087564667,"201",W
52.415503167,-4.087567667,"201",W
52.415499333,-4.087566,"201",W
52.415504833,-4.087561,"201",W
52.4155015,-4.087562,"201",W
52.4155025,-4.087558667,"201",W
52.415501667,-4.0875585,"201",W
52.4155075,-4.087550833,"201",W
52.415516333,-4.087546167,"201",W
52.415513,-4.08756,"201",W
52.415517333,-4.087556333,"201",W
52.415518333,-4.087555833,"201",W
52.415506,-4.087568333,"200",W
52.4154995,-4.087572333,"200",W
52.415497667,-4.087574,"200",W
52.415499667,-4.087576167,"200",W
NEW_LOG
52.4153005,-4.087727,"199",W
52.415302667,-4.087723333,"199",W
52.4153155,-4.087709333,"200",W
52.415315167,-4.087712333,"200",W
52.4153075,-4.087724333,"199",W
52.4153115,-4.087720167,"199",W
52.415309333,-4.087725833,"199",W
52.415310667,-4.087730333,"199",W
